[2022-11-16T22:36:52.845+0000] {taskinstance.py:1165} INFO - Dependencies all met for <TaskInstance: MyPersonalAirflowProject.Print_Imported_data scheduled__2022-10-01T00:00:00+00:00 [queued]>
[2022-11-16T22:36:52.858+0000] {taskinstance.py:1165} INFO - Dependencies all met for <TaskInstance: MyPersonalAirflowProject.Print_Imported_data scheduled__2022-10-01T00:00:00+00:00 [queued]>
[2022-11-16T22:36:52.859+0000] {taskinstance.py:1362} INFO - 
--------------------------------------------------------------------------------
[2022-11-16T22:36:52.860+0000] {taskinstance.py:1363} INFO - Starting attempt 2 of 2
[2022-11-16T22:36:52.861+0000] {taskinstance.py:1364} INFO - 
--------------------------------------------------------------------------------
[2022-11-16T22:36:52.879+0000] {taskinstance.py:1383} INFO - Executing <Task(BashOperator): Print_Imported_data> on 2022-10-01 00:00:00+00:00
[2022-11-16T22:36:52.885+0000] {standard_task_runner.py:55} INFO - Started process 6562 to run task
[2022-11-16T22:36:52.888+0000] {standard_task_runner.py:82} INFO - Running: ['***', 'tasks', 'run', 'MyPersonalAirflowProject', 'Print_Imported_data', 'scheduled__2022-10-01T00:00:00+00:00', '--job-id', '1702', '--raw', '--subdir', 'DAGS_FOLDER/FinalPersonalProject.py', '--cfg-path', '/tmp/tmp9y1zeda6']
[2022-11-16T22:36:52.889+0000] {standard_task_runner.py:83} INFO - Job 1702: Subtask Print_Imported_data
[2022-11-16T22:36:52.958+0000] {task_command.py:376} INFO - Running <TaskInstance: MyPersonalAirflowProject.Print_Imported_data scheduled__2022-10-01T00:00:00+00:00 [running]> on host 638485efabe7
[2022-11-16T22:36:53.042+0000] {taskinstance.py:1592} INFO - Exporting the following env vars:
AIRFLOW_CTX_DAG_OWNER=***
AIRFLOW_CTX_DAG_ID=MyPersonalAirflowProject
AIRFLOW_CTX_TASK_ID=Print_Imported_data
AIRFLOW_CTX_EXECUTION_DATE=2022-10-01T00:00:00+00:00
AIRFLOW_CTX_TRY_NUMBER=2
AIRFLOW_CTX_DAG_RUN_ID=scheduled__2022-10-01T00:00:00+00:00
[2022-11-16T22:36:53.043+0000] {subprocess.py:63} INFO - Tmp dir root location: 
 /tmp
[2022-11-16T22:36:53.045+0000] {subprocess.py:75} INFO - Running command: ['/bin/bash', '-c', 'ls /tmp/ && head /tmp/platzi_data.csv']
[2022-11-16T22:36:53.056+0000] {subprocess.py:86} INFO - Output:
[2022-11-16T22:36:53.073+0000] {subprocess.py:93} INFO - ***tmpk5xxq3nx
[2022-11-16T22:36:53.074+0000] {subprocess.py:93} INFO - ***tmpl577m2op
[2022-11-16T22:36:53.074+0000] {subprocess.py:93} INFO - ***tmplkvca7ip
[2022-11-16T22:36:53.075+0000] {subprocess.py:93} INFO - ***tmpodkacs8z
[2022-11-16T22:36:53.075+0000] {subprocess.py:93} INFO - file.txt
[2022-11-16T22:36:53.076+0000] {subprocess.py:93} INFO - history.json
[2022-11-16T22:36:53.076+0000] {subprocess.py:93} INFO - platzi_data_20221001.csv
[2022-11-16T22:36:53.077+0000] {subprocess.py:93} INFO - platzi_data_20221002.csv
[2022-11-16T22:36:53.077+0000] {subprocess.py:93} INFO - platzi_data_20221003.csv
[2022-11-16T22:36:53.078+0000] {subprocess.py:93} INFO - platzi_data_20221004.csv
[2022-11-16T22:36:53.078+0000] {subprocess.py:93} INFO - platzi_data_20221005.csv
[2022-11-16T22:36:53.079+0000] {subprocess.py:93} INFO - platzi_data_20221006.csv
[2022-11-16T22:36:53.079+0000] {subprocess.py:93} INFO - platzi_data_20221007.csv
[2022-11-16T22:36:53.079+0000] {subprocess.py:93} INFO - platzi_data_20221008.csv
[2022-11-16T22:36:53.080+0000] {subprocess.py:93} INFO - platzi_data_20221009.csv
[2022-11-16T22:36:53.080+0000] {subprocess.py:93} INFO - platzi_data_20221010.csv
[2022-11-16T22:36:53.081+0000] {subprocess.py:93} INFO - platzi_data_20221011.csv
[2022-11-16T22:36:53.081+0000] {subprocess.py:93} INFO - platzi_data_20221012.csv
[2022-11-16T22:36:53.081+0000] {subprocess.py:93} INFO - platzi_data_20221013.csv
[2022-11-16T22:36:53.082+0000] {subprocess.py:93} INFO - platzi_data_20221014.csv
[2022-11-16T22:36:53.082+0000] {subprocess.py:93} INFO - platzi_data_20221015.csv
[2022-11-16T22:36:53.082+0000] {subprocess.py:93} INFO - platzi_data_20221016.csv
[2022-11-16T22:36:53.082+0000] {subprocess.py:93} INFO - platzi_data_20221017.csv
[2022-11-16T22:36:53.083+0000] {subprocess.py:93} INFO - platzi_data_20221018.csv
[2022-11-16T22:36:53.083+0000] {subprocess.py:93} INFO - platzi_data_20221019.csv
[2022-11-16T22:36:53.083+0000] {subprocess.py:93} INFO - platzi_data_20221020.csv
