[2022-11-17T15:45:53.331+0000] {taskinstance.py:1165} INFO - Dependencies all met for <TaskInstance: MyPersonalAirflowProject.Print_Imported_data scheduled__2022-10-12T00:00:00+00:00 [queued]>
[2022-11-17T15:45:53.345+0000] {taskinstance.py:1165} INFO - Dependencies all met for <TaskInstance: MyPersonalAirflowProject.Print_Imported_data scheduled__2022-10-12T00:00:00+00:00 [queued]>
[2022-11-17T15:45:53.345+0000] {taskinstance.py:1362} INFO - 
--------------------------------------------------------------------------------
[2022-11-17T15:45:53.347+0000] {taskinstance.py:1363} INFO - Starting attempt 2 of 2
[2022-11-17T15:45:53.347+0000] {taskinstance.py:1364} INFO - 
--------------------------------------------------------------------------------
[2022-11-17T15:45:53.365+0000] {taskinstance.py:1383} INFO - Executing <Task(BashOperator): Print_Imported_data> on 2022-10-12 00:00:00+00:00
[2022-11-17T15:45:53.370+0000] {standard_task_runner.py:55} INFO - Started process 295 to run task
[2022-11-17T15:45:53.372+0000] {standard_task_runner.py:82} INFO - Running: ['***', 'tasks', 'run', 'MyPersonalAirflowProject', 'Print_Imported_data', 'scheduled__2022-10-12T00:00:00+00:00', '--job-id', '1766', '--raw', '--subdir', 'DAGS_FOLDER/FinalPersonalProject.py', '--cfg-path', '/tmp/tmp68use6l1']
[2022-11-17T15:45:53.373+0000] {standard_task_runner.py:83} INFO - Job 1766: Subtask Print_Imported_data
[2022-11-17T15:45:53.437+0000] {task_command.py:376} INFO - Running <TaskInstance: MyPersonalAirflowProject.Print_Imported_data scheduled__2022-10-12T00:00:00+00:00 [running]> on host 638485efabe7
[2022-11-17T15:45:53.508+0000] {taskinstance.py:1592} INFO - Exporting the following env vars:
AIRFLOW_CTX_DAG_OWNER=***
AIRFLOW_CTX_DAG_ID=MyPersonalAirflowProject
AIRFLOW_CTX_TASK_ID=Print_Imported_data
AIRFLOW_CTX_EXECUTION_DATE=2022-10-12T00:00:00+00:00
AIRFLOW_CTX_TRY_NUMBER=2
AIRFLOW_CTX_DAG_RUN_ID=scheduled__2022-10-12T00:00:00+00:00
[2022-11-17T15:45:53.509+0000] {subprocess.py:63} INFO - Tmp dir root location: 
 /tmp
[2022-11-17T15:45:53.510+0000] {subprocess.py:75} INFO - Running command: ['/bin/bash', '-c', 'ls /tmp/ && head /tmp/platzi_data.csv']
[2022-11-17T15:45:53.522+0000] {subprocess.py:86} INFO - Output:
[2022-11-17T15:45:53.526+0000] {subprocess.py:93} INFO - ***tmpbvc2rx46
[2022-11-17T15:45:53.527+0000] {subprocess.py:93} INFO - ***tmpk5xxq3nx
[2022-11-17T15:45:53.528+0000] {subprocess.py:93} INFO - ***tmplkvca7ip
[2022-11-17T15:45:53.528+0000] {subprocess.py:93} INFO - ***tmpodkacs8z
[2022-11-17T15:45:53.529+0000] {subprocess.py:93} INFO - file.txt
[2022-11-17T15:45:53.529+0000] {subprocess.py:93} INFO - history.json
[2022-11-17T15:45:53.530+0000] {subprocess.py:93} INFO - platzi_data_20221001.csv
[2022-11-17T15:45:53.530+0000] {subprocess.py:93} INFO - platzi_data_20221002.csv
[2022-11-17T15:45:53.531+0000] {subprocess.py:93} INFO - platzi_data_20221003.csv
[2022-11-17T15:45:53.531+0000] {subprocess.py:93} INFO - platzi_data_20221004.csv
[2022-11-17T15:45:53.532+0000] {subprocess.py:93} INFO - platzi_data_20221005.csv
[2022-11-17T15:45:53.532+0000] {subprocess.py:93} INFO - platzi_data_20221006.csv
[2022-11-17T15:45:53.533+0000] {subprocess.py:93} INFO - platzi_data_20221007.csv
[2022-11-17T15:45:53.533+0000] {subprocess.py:93} INFO - platzi_data_20221008.csv
[2022-11-17T15:45:53.534+0000] {subprocess.py:93} INFO - platzi_data_20221009.csv
[2022-11-17T15:45:53.534+0000] {subprocess.py:93} INFO - platzi_data_20221010.csv
[2022-11-17T15:45:53.535+0000] {subprocess.py:93} INFO - platzi_data_20221011.csv
[2022-11-17T15:45:53.535+0000] {subprocess.py:93} INFO - platzi_data_20221012.csv
[2022-11-17T15:45:53.536+0000] {subprocess.py:93} INFO - platzi_data_20221013.csv
[2022-11-17T15:45:53.536+0000] {subprocess.py:93} INFO - platzi_data_20221014.csv
[2022-11-17T15:45:53.537+0000] {subprocess.py:93} INFO - platzi_data_20221015.csv
[2022-11-17T15:45:53.537+0000] {subprocess.py:93} INFO - platzi_data_20221016.csv
[2022-11-17T15:45:53.538+0000] {subprocess.py:93} INFO - platzi_data_20221017.csv
[2022-11-17T15:45:53.538+0000] {subprocess.py:93} INFO - platzi_data_20221018.csv
[2022-11-17T15:45:53.538+0000] {subprocess.py:93} INFO - platzi_data_20221019.csv
[2022-11-17T15:45:53.539+0000] {subprocess.py:93} INFO - platzi_data_20221020.csv
