[2022-11-17T15:51:51.366+0000] {taskinstance.py:1165} INFO - Dependencies all met for <TaskInstance: MyPersonalAirflowProject.Print_Imported_data scheduled__2022-10-15T00:00:00+00:00 [queued]>
[2022-11-17T15:51:51.379+0000] {taskinstance.py:1165} INFO - Dependencies all met for <TaskInstance: MyPersonalAirflowProject.Print_Imported_data scheduled__2022-10-15T00:00:00+00:00 [queued]>
[2022-11-17T15:51:51.380+0000] {taskinstance.py:1362} INFO - 
--------------------------------------------------------------------------------
[2022-11-17T15:51:51.381+0000] {taskinstance.py:1363} INFO - Starting attempt 3 of 3
[2022-11-17T15:51:51.381+0000] {taskinstance.py:1364} INFO - 
--------------------------------------------------------------------------------
[2022-11-17T15:51:51.400+0000] {taskinstance.py:1383} INFO - Executing <Task(BashOperator): Print_Imported_data> on 2022-10-15 00:00:00+00:00
[2022-11-17T15:51:51.407+0000] {standard_task_runner.py:55} INFO - Started process 765 to run task
[2022-11-17T15:51:51.410+0000] {standard_task_runner.py:82} INFO - Running: ['***', 'tasks', 'run', 'MyPersonalAirflowProject', 'Print_Imported_data', 'scheduled__2022-10-15T00:00:00+00:00', '--job-id', '1831', '--raw', '--subdir', 'DAGS_FOLDER/FinalPersonalProject.py', '--cfg-path', '/tmp/tmp1le2oenw']
[2022-11-17T15:51:51.411+0000] {standard_task_runner.py:83} INFO - Job 1831: Subtask Print_Imported_data
[2022-11-17T15:51:51.482+0000] {task_command.py:376} INFO - Running <TaskInstance: MyPersonalAirflowProject.Print_Imported_data scheduled__2022-10-15T00:00:00+00:00 [running]> on host 638485efabe7
[2022-11-17T15:51:51.622+0000] {taskinstance.py:1592} INFO - Exporting the following env vars:
AIRFLOW_CTX_DAG_OWNER=***
AIRFLOW_CTX_DAG_ID=MyPersonalAirflowProject
AIRFLOW_CTX_TASK_ID=Print_Imported_data
AIRFLOW_CTX_EXECUTION_DATE=2022-10-15T00:00:00+00:00
AIRFLOW_CTX_TRY_NUMBER=3
AIRFLOW_CTX_DAG_RUN_ID=scheduled__2022-10-15T00:00:00+00:00
[2022-11-17T15:51:51.624+0000] {subprocess.py:63} INFO - Tmp dir root location: 
 /tmp
[2022-11-17T15:51:51.625+0000] {subprocess.py:75} INFO - Running command: ['/bin/bash', '-c', 'ls /tmp/ && head /tmp/platzi_data_20221015.csv']
[2022-11-17T15:51:51.636+0000] {subprocess.py:86} INFO - Output:
[2022-11-17T15:51:51.640+0000] {subprocess.py:93} INFO - ***tmp10s84jz0
[2022-11-17T15:51:51.641+0000] {subprocess.py:93} INFO - ***tmpk5xxq3nx
[2022-11-17T15:51:51.641+0000] {subprocess.py:93} INFO - ***tmplkvca7ip
[2022-11-17T15:51:51.642+0000] {subprocess.py:93} INFO - ***tmpodkacs8z
[2022-11-17T15:51:51.643+0000] {subprocess.py:93} INFO - file.txt
[2022-11-17T15:51:51.643+0000] {subprocess.py:93} INFO - history.json
[2022-11-17T15:51:51.643+0000] {subprocess.py:93} INFO - platzi_data_20221001.csv
[2022-11-17T15:51:51.644+0000] {subprocess.py:93} INFO - platzi_data_20221002.csv
[2022-11-17T15:51:51.644+0000] {subprocess.py:93} INFO - platzi_data_20221003.csv
[2022-11-17T15:51:51.644+0000] {subprocess.py:93} INFO - platzi_data_20221004.csv
[2022-11-17T15:51:51.645+0000] {subprocess.py:93} INFO - platzi_data_20221005.csv
[2022-11-17T15:51:51.645+0000] {subprocess.py:93} INFO - platzi_data_20221006.csv
[2022-11-17T15:51:51.645+0000] {subprocess.py:93} INFO - platzi_data_20221007.csv
[2022-11-17T15:51:51.646+0000] {subprocess.py:93} INFO - platzi_data_20221008.csv
[2022-11-17T15:51:51.646+0000] {subprocess.py:93} INFO - platzi_data_20221009.csv
[2022-11-17T15:51:51.647+0000] {subprocess.py:93} INFO - platzi_data_20221010.csv
[2022-11-17T15:51:51.647+0000] {subprocess.py:93} INFO - platzi_data_20221011.csv
[2022-11-17T15:51:51.647+0000] {subprocess.py:93} INFO - platzi_data_20221012.csv
[2022-11-17T15:51:51.648+0000] {subprocess.py:93} INFO - platzi_data_20221013.csv
[2022-11-17T15:51:51.648+0000] {subprocess.py:93} INFO - platzi_data_20221014.csv
[2022-11-17T15:51:51.648+0000] {subprocess.py:93} INFO - platzi_data_20221015.csv
[2022-11-17T15:51:51.649+0000] {subprocess.py:93} INFO - platzi_data_20221016.csv
[2022-11-17T15:51:51.649+0000] {subprocess.py:93} INFO - platzi_data_20221017.csv
[2022-11-17T15:51:51.649+0000] {subprocess.py:93} INFO - platzi_data_20221018.csv
[2022-11-17T15:51:51.650+0000] {subprocess.py:93} INFO - platzi_data_20221019.csv
[2022-11-17T15:51:51.650+0000] {subprocess.py:93} INFO - platzi_data_20221020.csv
[2022-11-17T15:51:51.650+0000] {subprocess.py:93} INFO - platzi_data_20221021.csv
[2022-11-17T15:51:51.651+0000] {subprocess.py:93} INFO - platzi_data_20221022.csv
[2022-11-17T15:51:51.651+0000] {subprocess.py:93} INFO - platzi_data_20221023.csv
[2022-11-17T15:51:51.652+0000] {subprocess.py:93} INFO - platzi_data_20221024.csv
[2022-11-17T15:51:51.652+0000] {subprocess.py:93} INFO - platzi_data_20221025.csv
[2022-11-17T15:51:51.652+0000] {subprocess.py:93} INFO - platzi_data_20221026.csv
[2022-11-17T15:51:51.653+0000] {subprocess.py:93} INFO - platzi_data_20221027.csv
[2022-11-17T15:51:51.653+0000] {subprocess.py:93} INFO - platzi_data_20221028.csv
[2022-11-17T15:51:51.653+0000] {subprocess.py:93} INFO - platzi_data_20221029.csv
[2022-11-17T15:51:51.654+0000] {subprocess.py:93} INFO - platzi_data_20221030.csv
[2022-11-17T15:51:51.654+0000] {subprocess.py:93} INFO - platzi_data_20221031.csv
[2022-11-17T15:51:51.656+0000] {subprocess.py:93} INFO - platzi_data_20221101.csv
[2022-11-17T15:51:51.656+0000] {subprocess.py:93} INFO - platzi_data_20221102.csv
[2022-11-17T15:51:51.657+0000] {subprocess.py:93} INFO - platzi_data_20221103.csv
[2022-11-17T15:51:51.657+0000] {subprocess.py:93} INFO - platzi_data_20221104.csv
