[2022-11-17T15:52:48.803+0000] {taskinstance.py:1165} INFO - Dependencies all met for <TaskInstance: MyPersonalAirflowProject.Print_Imported_data scheduled__2022-10-17T00:00:00+00:00 [queued]>
[2022-11-17T15:52:48.818+0000] {taskinstance.py:1165} INFO - Dependencies all met for <TaskInstance: MyPersonalAirflowProject.Print_Imported_data scheduled__2022-10-17T00:00:00+00:00 [queued]>
[2022-11-17T15:52:48.819+0000] {taskinstance.py:1362} INFO - 
--------------------------------------------------------------------------------
[2022-11-17T15:52:48.820+0000] {taskinstance.py:1363} INFO - Starting attempt 3 of 3
[2022-11-17T15:52:48.821+0000] {taskinstance.py:1364} INFO - 
--------------------------------------------------------------------------------
[2022-11-17T15:52:48.840+0000] {taskinstance.py:1383} INFO - Executing <Task(BashOperator): Print_Imported_data> on 2022-10-17 00:00:00+00:00
[2022-11-17T15:52:48.848+0000] {standard_task_runner.py:55} INFO - Started process 842 to run task
[2022-11-17T15:52:48.852+0000] {standard_task_runner.py:82} INFO - Running: ['***', 'tasks', 'run', 'MyPersonalAirflowProject', 'Print_Imported_data', 'scheduled__2022-10-17T00:00:00+00:00', '--job-id', '1843', '--raw', '--subdir', 'DAGS_FOLDER/FinalPersonalProject.py', '--cfg-path', '/tmp/tmpj3910nix']
[2022-11-17T15:52:48.853+0000] {standard_task_runner.py:83} INFO - Job 1843: Subtask Print_Imported_data
[2022-11-17T15:52:48.927+0000] {task_command.py:376} INFO - Running <TaskInstance: MyPersonalAirflowProject.Print_Imported_data scheduled__2022-10-17T00:00:00+00:00 [running]> on host 638485efabe7
[2022-11-17T15:52:49.003+0000] {taskinstance.py:1592} INFO - Exporting the following env vars:
AIRFLOW_CTX_DAG_OWNER=***
AIRFLOW_CTX_DAG_ID=MyPersonalAirflowProject
AIRFLOW_CTX_TASK_ID=Print_Imported_data
AIRFLOW_CTX_EXECUTION_DATE=2022-10-17T00:00:00+00:00
AIRFLOW_CTX_TRY_NUMBER=3
AIRFLOW_CTX_DAG_RUN_ID=scheduled__2022-10-17T00:00:00+00:00
[2022-11-17T15:52:49.005+0000] {subprocess.py:63} INFO - Tmp dir root location: 
 /tmp
[2022-11-17T15:52:49.006+0000] {subprocess.py:75} INFO - Running command: ['/bin/bash', '-c', 'ls /tmp/ && head /tmp/platzi_data_20221017.csv']
[2022-11-17T15:52:49.017+0000] {subprocess.py:86} INFO - Output:
[2022-11-17T15:52:49.022+0000] {subprocess.py:93} INFO - ***tmpcxt2xq9y
[2022-11-17T15:52:49.023+0000] {subprocess.py:93} INFO - ***tmpk5xxq3nx
[2022-11-17T15:52:49.024+0000] {subprocess.py:93} INFO - ***tmplkvca7ip
[2022-11-17T15:52:49.025+0000] {subprocess.py:93} INFO - ***tmpodkacs8z
[2022-11-17T15:52:49.026+0000] {subprocess.py:93} INFO - file.txt
[2022-11-17T15:52:49.027+0000] {subprocess.py:93} INFO - history.json
[2022-11-17T15:52:49.028+0000] {subprocess.py:93} INFO - platzi_data_20221001.csv
[2022-11-17T15:52:49.029+0000] {subprocess.py:93} INFO - platzi_data_20221002.csv
[2022-11-17T15:52:49.029+0000] {subprocess.py:93} INFO - platzi_data_20221003.csv
[2022-11-17T15:52:49.030+0000] {subprocess.py:93} INFO - platzi_data_20221004.csv
[2022-11-17T15:52:49.030+0000] {subprocess.py:93} INFO - platzi_data_20221005.csv
[2022-11-17T15:52:49.031+0000] {subprocess.py:93} INFO - platzi_data_20221006.csv
[2022-11-17T15:52:49.031+0000] {subprocess.py:93} INFO - platzi_data_20221007.csv
[2022-11-17T15:52:49.032+0000] {subprocess.py:93} INFO - platzi_data_20221008.csv
[2022-11-17T15:52:49.032+0000] {subprocess.py:93} INFO - platzi_data_20221009.csv
[2022-11-17T15:52:49.032+0000] {subprocess.py:93} INFO - platzi_data_20221010.csv
[2022-11-17T15:52:49.033+0000] {subprocess.py:93} INFO - platzi_data_20221011.csv
[2022-11-17T15:52:49.033+0000] {subprocess.py:93} INFO - platzi_data_20221012.csv
[2022-11-17T15:52:49.034+0000] {subprocess.py:93} INFO - platzi_data_20221013.csv
[2022-11-17T15:52:49.035+0000] {subprocess.py:93} INFO - platzi_data_20221014.csv
[2022-11-17T15:52:49.035+0000] {subprocess.py:93} INFO - platzi_data_20221015.csv
[2022-11-17T15:52:49.035+0000] {subprocess.py:93} INFO - platzi_data_20221016.csv
[2022-11-17T15:52:49.036+0000] {subprocess.py:93} INFO - platzi_data_20221017.csv
[2022-11-17T15:52:49.036+0000] {subprocess.py:93} INFO - platzi_data_20221018.csv
[2022-11-17T15:52:49.037+0000] {subprocess.py:93} INFO - platzi_data_20221019.csv
[2022-11-17T15:52:49.037+0000] {subprocess.py:93} INFO - platzi_data_20221020.csv
[2022-11-17T15:52:49.037+0000] {subprocess.py:93} INFO - platzi_data_20221021.csv
[2022-11-17T15:52:49.038+0000] {subprocess.py:93} INFO - platzi_data_20221022.csv
[2022-11-17T15:52:49.038+0000] {subprocess.py:93} INFO - platzi_data_20221023.csv
[2022-11-17T15:52:49.038+0000] {subprocess.py:93} INFO - platzi_data_20221024.csv
[2022-11-17T15:52:49.038+0000] {subprocess.py:93} INFO - platzi_data_20221025.csv
[2022-11-17T15:52:49.039+0000] {subprocess.py:93} INFO - platzi_data_20221026.csv
[2022-11-17T15:52:49.039+0000] {subprocess.py:93} INFO - platzi_data_20221027.csv
[2022-11-17T15:52:49.040+0000] {subprocess.py:93} INFO - platzi_data_20221028.csv
[2022-11-17T15:52:49.040+0000] {subprocess.py:93} INFO - platzi_data_20221029.csv
[2022-11-17T15:52:49.041+0000] {subprocess.py:93} INFO - platzi_data_20221030.csv
[2022-11-17T15:52:49.041+0000] {subprocess.py:93} INFO - platzi_data_20221031.csv
[2022-11-17T15:52:49.041+0000] {subprocess.py:93} INFO - platzi_data_20221101.csv
[2022-11-17T15:52:49.042+0000] {subprocess.py:93} INFO - platzi_data_20221102.csv
[2022-11-17T15:52:49.042+0000] {subprocess.py:93} INFO - platzi_data_20221103.csv
[2022-11-17T15:52:49.042+0000] {subprocess.py:93} INFO - platzi_data_20221104.csv
[2022-11-17T15:52:49.042+0000] {subprocess.py:93} INFO - platzi_data_20221105.csv
[2022-11-17T15:52:49.043+0000] {subprocess.py:93} INFO - platzi_data_20221106.csv
[2022-11-17T15:52:49.043+0000] {subprocess.py:93} INFO - platzi_data_20221107.csv
[2022-11-17T15:52:49.043+0000] {subprocess.py:93} INFO - pymp-8yik9lbi
[2022-11-17T15:52:49.044+0000] {subprocess.py:93} INFO - pymp-sbqt6pho
[2022-11-17T15:52:49.044+0000] {subprocess.py:93} INFO - reponse_20221001.txt
[2022-11-17T15:52:49.044+0000] {subprocess.py:93} INFO - reponse_20221002.txt
[2022-11-17T15:52:49.045+0000] {subprocess.py:93} INFO - reponse_20221003.txt
[2022-11-17T15:52:49.045+0000] {subprocess.py:93} INFO - reponse_20221004.txt
[2022-11-17T15:52:49.045+0000] {subprocess.py:93} INFO - reponse_20221005.txt
[2022-11-17T15:52:49.046+0000] {subprocess.py:93} INFO - reponse_20221006.txt
[2022-11-17T15:52:49.046+0000] {subprocess.py:93} INFO - reponse_20221007.txt
[2022-11-17T15:52:49.046+0000] {subprocess.py:93} INFO - reponse_20221008.txt
[2022-11-17T15:52:49.047+0000] {subprocess.py:93} INFO - reponse_20221009.txt
[2022-11-17T15:52:49.047+0000] {subprocess.py:93} INFO - reponse_20221010.txt
[2022-11-17T15:52:49.047+0000] {subprocess.py:93} INFO - reponse_20221011.txt
[2022-11-17T15:52:49.047+0000] {subprocess.py:93} INFO - reponse_20221012.txt
[2022-11-17T15:52:49.048+0000] {subprocess.py:93} INFO - reponse_20221013.txt
[2022-11-17T15:52:49.048+0000] {subprocess.py:93} INFO - reponse_20221014.txt
[2022-11-17T15:52:49.048+0000] {subprocess.py:93} INFO - reponse_20221015.txt
[2022-11-17T15:52:49.048+0000] {subprocess.py:93} INFO - reponse_20221016.txt
[2022-11-17T15:52:49.049+0000] {subprocess.py:93} INFO - reponse_20221017.txt
[2022-11-17T15:52:49.049+0000] {subprocess.py:93} INFO - reponse_20221018.txt
[2022-11-17T15:52:49.049+0000] {subprocess.py:93} INFO - reponse_20221019.txt
[2022-11-17T15:52:49.049+0000] {subprocess.py:93} INFO - reponse_20221020.txt
[2022-11-17T15:52:49.050+0000] {subprocess.py:93} INFO - reponse_20221021.txt
[2022-11-17T15:52:49.050+0000] {subprocess.py:93} INFO - reponse_20221022.txt
[2022-11-17T15:52:49.050+0000] {subprocess.py:93} INFO - reponse_20221023.txt
[2022-11-17T15:52:49.051+0000] {subprocess.py:93} INFO - reponse_20221024.txt
