[2022-11-17T15:58:27.160+0000] {taskinstance.py:1165} INFO - Dependencies all met for <TaskInstance: MyPersonalAirflowProject.Print_Imported_data scheduled__2022-10-27T00:00:00+00:00 [queued]>
[2022-11-17T15:58:27.173+0000] {taskinstance.py:1165} INFO - Dependencies all met for <TaskInstance: MyPersonalAirflowProject.Print_Imported_data scheduled__2022-10-27T00:00:00+00:00 [queued]>
[2022-11-17T15:58:27.174+0000] {taskinstance.py:1362} INFO - 
--------------------------------------------------------------------------------
[2022-11-17T15:58:27.175+0000] {taskinstance.py:1363} INFO - Starting attempt 2 of 2
[2022-11-17T15:58:27.175+0000] {taskinstance.py:1364} INFO - 
--------------------------------------------------------------------------------
[2022-11-17T15:58:27.195+0000] {taskinstance.py:1383} INFO - Executing <Task(BashOperator): Print_Imported_data> on 2022-10-27 00:00:00+00:00
[2022-11-17T15:58:27.201+0000] {standard_task_runner.py:55} INFO - Started process 1296 to run task
[2022-11-17T15:58:27.204+0000] {standard_task_runner.py:82} INFO - Running: ['***', 'tasks', 'run', 'MyPersonalAirflowProject', 'Print_Imported_data', 'scheduled__2022-10-27T00:00:00+00:00', '--job-id', '1903', '--raw', '--subdir', 'DAGS_FOLDER/FinalPersonalProject.py', '--cfg-path', '/tmp/tmphtldqauz']
[2022-11-17T15:58:27.205+0000] {standard_task_runner.py:83} INFO - Job 1903: Subtask Print_Imported_data
[2022-11-17T15:58:27.315+0000] {task_command.py:376} INFO - Running <TaskInstance: MyPersonalAirflowProject.Print_Imported_data scheduled__2022-10-27T00:00:00+00:00 [running]> on host 638485efabe7
[2022-11-17T15:58:27.404+0000] {taskinstance.py:1592} INFO - Exporting the following env vars:
AIRFLOW_CTX_DAG_OWNER=***
AIRFLOW_CTX_DAG_ID=MyPersonalAirflowProject
AIRFLOW_CTX_TASK_ID=Print_Imported_data
AIRFLOW_CTX_EXECUTION_DATE=2022-10-27T00:00:00+00:00
AIRFLOW_CTX_TRY_NUMBER=2
AIRFLOW_CTX_DAG_RUN_ID=scheduled__2022-10-27T00:00:00+00:00
[2022-11-17T15:58:27.405+0000] {subprocess.py:63} INFO - Tmp dir root location: 
 /tmp
[2022-11-17T15:58:27.406+0000] {subprocess.py:75} INFO - Running command: ['/bin/bash', '-c', 'ls /tmp/ && head /tmp/platzi_data_20221027.csv']
[2022-11-17T15:58:27.417+0000] {subprocess.py:86} INFO - Output:
[2022-11-17T15:58:27.421+0000] {subprocess.py:93} INFO - ***tmpk5xxq3nx
[2022-11-17T15:58:27.421+0000] {subprocess.py:93} INFO - ***tmplkvca7ip
[2022-11-17T15:58:27.422+0000] {subprocess.py:93} INFO - ***tmpodkacs8z
[2022-11-17T15:58:27.423+0000] {subprocess.py:93} INFO - ***tmpukw5m898
[2022-11-17T15:58:27.423+0000] {subprocess.py:93} INFO - file.txt
[2022-11-17T15:58:27.424+0000] {subprocess.py:93} INFO - history.json
[2022-11-17T15:58:27.424+0000] {subprocess.py:93} INFO - platzi_data_20221001.csv
[2022-11-17T15:58:27.424+0000] {subprocess.py:93} INFO - platzi_data_20221002.csv
[2022-11-17T15:58:27.425+0000] {subprocess.py:93} INFO - platzi_data_20221003.csv
[2022-11-17T15:58:27.425+0000] {subprocess.py:93} INFO - platzi_data_20221004.csv
[2022-11-17T15:58:27.426+0000] {subprocess.py:93} INFO - platzi_data_20221005.csv
[2022-11-17T15:58:27.426+0000] {subprocess.py:93} INFO - platzi_data_20221006.csv
[2022-11-17T15:58:27.426+0000] {subprocess.py:93} INFO - platzi_data_20221007.csv
[2022-11-17T15:58:27.426+0000] {subprocess.py:93} INFO - platzi_data_20221008.csv
[2022-11-17T15:58:27.427+0000] {subprocess.py:93} INFO - platzi_data_20221009.csv
[2022-11-17T15:58:27.427+0000] {subprocess.py:93} INFO - platzi_data_20221010.csv
[2022-11-17T15:58:27.427+0000] {subprocess.py:93} INFO - platzi_data_20221011.csv
[2022-11-17T15:58:27.428+0000] {subprocess.py:93} INFO - platzi_data_20221012.csv
[2022-11-17T15:58:27.428+0000] {subprocess.py:93} INFO - platzi_data_20221013.csv
[2022-11-17T15:58:27.428+0000] {subprocess.py:93} INFO - platzi_data_20221014.csv
[2022-11-17T15:58:27.429+0000] {subprocess.py:93} INFO - platzi_data_20221015.csv
[2022-11-17T15:58:27.429+0000] {subprocess.py:93} INFO - platzi_data_20221016.csv
[2022-11-17T15:58:27.429+0000] {subprocess.py:93} INFO - platzi_data_20221017.csv
[2022-11-17T15:58:27.429+0000] {subprocess.py:93} INFO - platzi_data_20221018.csv
[2022-11-17T15:58:27.430+0000] {subprocess.py:93} INFO - platzi_data_20221019.csv
[2022-11-17T15:58:27.430+0000] {subprocess.py:93} INFO - platzi_data_20221020.csv
