[2022-11-17T15:59:25.418+0000] {taskinstance.py:1165} INFO - Dependencies all met for <TaskInstance: MyPersonalAirflowProject.Print_Imported_data scheduled__2022-10-29T00:00:00+00:00 [queued]>
[2022-11-17T15:59:25.434+0000] {taskinstance.py:1165} INFO - Dependencies all met for <TaskInstance: MyPersonalAirflowProject.Print_Imported_data scheduled__2022-10-29T00:00:00+00:00 [queued]>
[2022-11-17T15:59:25.435+0000] {taskinstance.py:1362} INFO - 
--------------------------------------------------------------------------------
[2022-11-17T15:59:25.436+0000] {taskinstance.py:1363} INFO - Starting attempt 2 of 2
[2022-11-17T15:59:25.437+0000] {taskinstance.py:1364} INFO - 
--------------------------------------------------------------------------------
[2022-11-17T15:59:25.458+0000] {taskinstance.py:1383} INFO - Executing <Task(BashOperator): Print_Imported_data> on 2022-10-29 00:00:00+00:00
[2022-11-17T15:59:25.465+0000] {standard_task_runner.py:55} INFO - Started process 1372 to run task
[2022-11-17T15:59:25.467+0000] {standard_task_runner.py:82} INFO - Running: ['***', 'tasks', 'run', 'MyPersonalAirflowProject', 'Print_Imported_data', 'scheduled__2022-10-29T00:00:00+00:00', '--job-id', '1915', '--raw', '--subdir', 'DAGS_FOLDER/FinalPersonalProject.py', '--cfg-path', '/tmp/tmp0mfafl8u']
[2022-11-17T15:59:25.468+0000] {standard_task_runner.py:83} INFO - Job 1915: Subtask Print_Imported_data
[2022-11-17T15:59:25.542+0000] {task_command.py:376} INFO - Running <TaskInstance: MyPersonalAirflowProject.Print_Imported_data scheduled__2022-10-29T00:00:00+00:00 [running]> on host 638485efabe7
[2022-11-17T15:59:25.630+0000] {taskinstance.py:1592} INFO - Exporting the following env vars:
AIRFLOW_CTX_DAG_OWNER=***
AIRFLOW_CTX_DAG_ID=MyPersonalAirflowProject
AIRFLOW_CTX_TASK_ID=Print_Imported_data
AIRFLOW_CTX_EXECUTION_DATE=2022-10-29T00:00:00+00:00
AIRFLOW_CTX_TRY_NUMBER=2
AIRFLOW_CTX_DAG_RUN_ID=scheduled__2022-10-29T00:00:00+00:00
[2022-11-17T15:59:25.631+0000] {subprocess.py:63} INFO - Tmp dir root location: 
 /tmp
[2022-11-17T15:59:25.633+0000] {subprocess.py:75} INFO - Running command: ['/bin/bash', '-c', 'ls /tmp/ && head /tmp/platzi_data_20221029.csv']
[2022-11-17T15:59:25.644+0000] {subprocess.py:86} INFO - Output:
[2022-11-17T15:59:25.648+0000] {subprocess.py:93} INFO - ***tmpk5xxq3nx
[2022-11-17T15:59:25.649+0000] {subprocess.py:93} INFO - ***tmplkvca7ip
[2022-11-17T15:59:25.649+0000] {subprocess.py:93} INFO - ***tmpnwrci82l
[2022-11-17T15:59:25.650+0000] {subprocess.py:93} INFO - ***tmpodkacs8z
[2022-11-17T15:59:25.650+0000] {subprocess.py:93} INFO - file.txt
[2022-11-17T15:59:25.651+0000] {subprocess.py:93} INFO - history.json
[2022-11-17T15:59:25.651+0000] {subprocess.py:93} INFO - platzi_data_20221001.csv
[2022-11-17T15:59:25.651+0000] {subprocess.py:93} INFO - platzi_data_20221002.csv
[2022-11-17T15:59:25.652+0000] {subprocess.py:93} INFO - platzi_data_20221003.csv
[2022-11-17T15:59:25.652+0000] {subprocess.py:93} INFO - platzi_data_20221004.csv
[2022-11-17T15:59:25.652+0000] {subprocess.py:93} INFO - platzi_data_20221005.csv
[2022-11-17T15:59:25.653+0000] {subprocess.py:93} INFO - platzi_data_20221006.csv
[2022-11-17T15:59:25.653+0000] {subprocess.py:93} INFO - platzi_data_20221007.csv
[2022-11-17T15:59:25.653+0000] {subprocess.py:93} INFO - platzi_data_20221008.csv
[2022-11-17T15:59:25.654+0000] {subprocess.py:93} INFO - platzi_data_20221009.csv
[2022-11-17T15:59:25.654+0000] {subprocess.py:93} INFO - platzi_data_20221010.csv
[2022-11-17T15:59:25.655+0000] {subprocess.py:93} INFO - platzi_data_20221011.csv
[2022-11-17T15:59:25.655+0000] {subprocess.py:93} INFO - platzi_data_20221012.csv
[2022-11-17T15:59:25.656+0000] {subprocess.py:93} INFO - platzi_data_20221013.csv
[2022-11-17T15:59:25.656+0000] {subprocess.py:93} INFO - platzi_data_20221014.csv
[2022-11-17T15:59:25.656+0000] {subprocess.py:93} INFO - platzi_data_20221015.csv
[2022-11-17T15:59:25.657+0000] {subprocess.py:93} INFO - platzi_data_20221016.csv
[2022-11-17T15:59:25.658+0000] {subprocess.py:93} INFO - platzi_data_20221017.csv
[2022-11-17T15:59:25.658+0000] {subprocess.py:93} INFO - platzi_data_20221018.csv
[2022-11-17T15:59:25.658+0000] {subprocess.py:93} INFO - platzi_data_20221019.csv
[2022-11-17T15:59:25.659+0000] {subprocess.py:93} INFO - platzi_data_20221020.csv
[2022-11-17T15:59:25.659+0000] {subprocess.py:93} INFO - platzi_data_20221021.csv
[2022-11-17T15:59:25.660+0000] {subprocess.py:93} INFO - platzi_data_20221022.csv
[2022-11-17T15:59:25.660+0000] {subprocess.py:93} INFO - platzi_data_20221023.csv
[2022-11-17T15:59:25.660+0000] {subprocess.py:93} INFO - platzi_data_20221024.csv
[2022-11-17T15:59:25.661+0000] {subprocess.py:93} INFO - platzi_data_20221025.csv
[2022-11-17T15:59:25.661+0000] {subprocess.py:93} INFO - platzi_data_20221026.csv
[2022-11-17T15:59:25.661+0000] {subprocess.py:93} INFO - platzi_data_20221027.csv
[2022-11-17T15:59:25.661+0000] {subprocess.py:93} INFO - platzi_data_20221028.csv
[2022-11-17T15:59:25.662+0000] {subprocess.py:93} INFO - platzi_data_20221029.csv
[2022-11-17T15:59:25.662+0000] {subprocess.py:93} INFO - platzi_data_20221030.csv
[2022-11-17T15:59:25.662+0000] {subprocess.py:93} INFO - platzi_data_20221031.csv
[2022-11-17T15:59:25.663+0000] {subprocess.py:93} INFO - platzi_data_20221101.csv
[2022-11-17T15:59:25.663+0000] {subprocess.py:93} INFO - platzi_data_20221102.csv
[2022-11-17T15:59:25.664+0000] {subprocess.py:93} INFO - platzi_data_20221103.csv
[2022-11-17T15:59:25.664+0000] {subprocess.py:93} INFO - platzi_data_20221104.csv
[2022-11-17T15:59:25.664+0000] {subprocess.py:93} INFO - platzi_data_20221105.csv
[2022-11-17T15:59:25.665+0000] {subprocess.py:93} INFO - platzi_data_20221106.csv
[2022-11-17T15:59:25.665+0000] {subprocess.py:93} INFO - platzi_data_20221107.csv
[2022-11-17T15:59:25.665+0000] {subprocess.py:93} INFO - pymp-8yik9lbi
[2022-11-17T15:59:25.666+0000] {subprocess.py:93} INFO - pymp-sbqt6pho
[2022-11-17T15:59:25.666+0000] {subprocess.py:93} INFO - reponse_20221001.txt
[2022-11-17T15:59:25.666+0000] {subprocess.py:93} INFO - reponse_20221002.txt
[2022-11-17T15:59:25.666+0000] {subprocess.py:93} INFO - reponse_20221003.txt
[2022-11-17T15:59:25.667+0000] {subprocess.py:93} INFO - reponse_20221004.txt
[2022-11-17T15:59:25.667+0000] {subprocess.py:93} INFO - reponse_20221005.txt
[2022-11-17T15:59:25.667+0000] {subprocess.py:93} INFO - reponse_20221006.txt
[2022-11-17T15:59:25.668+0000] {subprocess.py:93} INFO - reponse_20221007.txt
[2022-11-17T15:59:25.668+0000] {subprocess.py:93} INFO - reponse_20221008.txt
[2022-11-17T15:59:25.668+0000] {subprocess.py:93} INFO - reponse_20221009.txt
[2022-11-17T15:59:25.668+0000] {subprocess.py:93} INFO - reponse_20221010.txt
[2022-11-17T15:59:25.669+0000] {subprocess.py:93} INFO - reponse_20221011.txt
[2022-11-17T15:59:25.669+0000] {subprocess.py:93} INFO - reponse_20221012.txt
[2022-11-17T15:59:25.669+0000] {subprocess.py:93} INFO - reponse_20221013.txt
