[2022-11-17T16:02:51.841+0000] {taskinstance.py:1165} INFO - Dependencies all met for <TaskInstance: MyPersonalAirflowProject.Print_Imported_data scheduled__2022-11-05T00:00:00+00:00 [queued]>
[2022-11-17T16:02:51.861+0000] {taskinstance.py:1165} INFO - Dependencies all met for <TaskInstance: MyPersonalAirflowProject.Print_Imported_data scheduled__2022-11-05T00:00:00+00:00 [queued]>
[2022-11-17T16:02:51.862+0000] {taskinstance.py:1362} INFO - 
--------------------------------------------------------------------------------
[2022-11-17T16:02:51.865+0000] {taskinstance.py:1363} INFO - Starting attempt 2 of 2
[2022-11-17T16:02:51.866+0000] {taskinstance.py:1364} INFO - 
--------------------------------------------------------------------------------
[2022-11-17T16:02:51.939+0000] {taskinstance.py:1383} INFO - Executing <Task(BashOperator): Print_Imported_data> on 2022-11-05 00:00:00+00:00
[2022-11-17T16:02:51.954+0000] {standard_task_runner.py:55} INFO - Started process 1675 to run task
[2022-11-17T16:02:51.957+0000] {standard_task_runner.py:82} INFO - Running: ['***', 'tasks', 'run', 'MyPersonalAirflowProject', 'Print_Imported_data', 'scheduled__2022-11-05T00:00:00+00:00', '--job-id', '1957', '--raw', '--subdir', 'DAGS_FOLDER/FinalPersonalProject.py', '--cfg-path', '/tmp/tmppbpepod7']
[2022-11-17T16:02:51.958+0000] {standard_task_runner.py:83} INFO - Job 1957: Subtask Print_Imported_data
[2022-11-17T16:02:52.036+0000] {task_command.py:376} INFO - Running <TaskInstance: MyPersonalAirflowProject.Print_Imported_data scheduled__2022-11-05T00:00:00+00:00 [running]> on host 638485efabe7
[2022-11-17T16:02:52.135+0000] {taskinstance.py:1592} INFO - Exporting the following env vars:
AIRFLOW_CTX_DAG_OWNER=***
AIRFLOW_CTX_DAG_ID=MyPersonalAirflowProject
AIRFLOW_CTX_TASK_ID=Print_Imported_data
AIRFLOW_CTX_EXECUTION_DATE=2022-11-05T00:00:00+00:00
AIRFLOW_CTX_TRY_NUMBER=2
AIRFLOW_CTX_DAG_RUN_ID=scheduled__2022-11-05T00:00:00+00:00
[2022-11-17T16:02:52.137+0000] {subprocess.py:63} INFO - Tmp dir root location: 
 /tmp
[2022-11-17T16:02:52.138+0000] {subprocess.py:75} INFO - Running command: ['/bin/bash', '-c', 'ls /tmp/ && head /tmp/platzi_data_20221105.csv']
[2022-11-17T16:02:52.151+0000] {subprocess.py:86} INFO - Output:
[2022-11-17T16:02:52.155+0000] {subprocess.py:93} INFO - ***tmpf_d55vag
[2022-11-17T16:02:52.156+0000] {subprocess.py:93} INFO - ***tmpk5xxq3nx
[2022-11-17T16:02:52.156+0000] {subprocess.py:93} INFO - ***tmplkvca7ip
[2022-11-17T16:02:52.157+0000] {subprocess.py:93} INFO - ***tmpodkacs8z
[2022-11-17T16:02:52.157+0000] {subprocess.py:93} INFO - file.txt
[2022-11-17T16:02:52.158+0000] {subprocess.py:93} INFO - history.json
[2022-11-17T16:02:52.158+0000] {subprocess.py:93} INFO - platzi_data_20221001.csv
[2022-11-17T16:02:52.158+0000] {subprocess.py:93} INFO - platzi_data_20221002.csv
[2022-11-17T16:02:52.159+0000] {subprocess.py:93} INFO - platzi_data_20221003.csv
[2022-11-17T16:02:52.159+0000] {subprocess.py:93} INFO - platzi_data_20221004.csv
[2022-11-17T16:02:52.160+0000] {subprocess.py:93} INFO - platzi_data_20221005.csv
[2022-11-17T16:02:52.160+0000] {subprocess.py:93} INFO - platzi_data_20221006.csv
[2022-11-17T16:02:52.161+0000] {subprocess.py:93} INFO - platzi_data_20221007.csv
[2022-11-17T16:02:52.161+0000] {subprocess.py:93} INFO - platzi_data_20221008.csv
[2022-11-17T16:02:52.162+0000] {subprocess.py:93} INFO - platzi_data_20221009.csv
[2022-11-17T16:02:52.162+0000] {subprocess.py:93} INFO - platzi_data_20221010.csv
[2022-11-17T16:02:52.163+0000] {subprocess.py:93} INFO - platzi_data_20221011.csv
[2022-11-17T16:02:52.164+0000] {subprocess.py:93} INFO - platzi_data_20221012.csv
[2022-11-17T16:02:52.164+0000] {subprocess.py:93} INFO - platzi_data_20221013.csv
[2022-11-17T16:02:52.165+0000] {subprocess.py:93} INFO - platzi_data_20221014.csv
[2022-11-17T16:02:52.165+0000] {subprocess.py:93} INFO - platzi_data_20221015.csv
[2022-11-17T16:02:52.166+0000] {subprocess.py:93} INFO - platzi_data_20221016.csv
[2022-11-17T16:02:52.166+0000] {subprocess.py:93} INFO - platzi_data_20221017.csv
[2022-11-17T16:02:52.167+0000] {subprocess.py:93} INFO - platzi_data_20221018.csv
[2022-11-17T16:02:52.168+0000] {subprocess.py:93} INFO - platzi_data_20221019.csv
[2022-11-17T16:02:52.169+0000] {subprocess.py:93} INFO - platzi_data_20221020.csv
[2022-11-17T16:02:52.170+0000] {subprocess.py:93} INFO - platzi_data_20221021.csv
[2022-11-17T16:02:52.171+0000] {subprocess.py:93} INFO - platzi_data_20221022.csv
[2022-11-17T16:02:52.171+0000] {subprocess.py:93} INFO - platzi_data_20221023.csv
[2022-11-17T16:02:52.172+0000] {subprocess.py:93} INFO - platzi_data_20221024.csv
[2022-11-17T16:02:52.172+0000] {subprocess.py:93} INFO - platzi_data_20221025.csv
[2022-11-17T16:02:52.173+0000] {subprocess.py:93} INFO - platzi_data_20221026.csv
[2022-11-17T16:02:52.173+0000] {subprocess.py:93} INFO - platzi_data_20221027.csv
[2022-11-17T16:02:52.173+0000] {subprocess.py:93} INFO - platzi_data_20221028.csv
[2022-11-17T16:02:52.174+0000] {subprocess.py:93} INFO - platzi_data_20221029.csv
[2022-11-17T16:02:52.174+0000] {subprocess.py:93} INFO - platzi_data_20221030.csv
[2022-11-17T16:02:52.175+0000] {subprocess.py:93} INFO - platzi_data_20221031.csv
[2022-11-17T16:02:52.176+0000] {subprocess.py:93} INFO - platzi_data_20221101.csv
[2022-11-17T16:02:52.176+0000] {subprocess.py:93} INFO - platzi_data_20221102.csv
[2022-11-17T16:02:52.177+0000] {subprocess.py:93} INFO - platzi_data_20221103.csv
[2022-11-17T16:02:52.177+0000] {subprocess.py:93} INFO - platzi_data_20221104.csv
[2022-11-17T16:02:52.178+0000] {subprocess.py:93} INFO - platzi_data_20221105.csv
[2022-11-17T16:02:52.178+0000] {subprocess.py:93} INFO - platzi_data_20221106.csv
[2022-11-17T16:02:52.179+0000] {subprocess.py:93} INFO - platzi_data_20221107.csv
[2022-11-17T16:02:52.179+0000] {subprocess.py:93} INFO - pymp-8yik9lbi
