[2022-11-17T16:03:50.353+0000] {taskinstance.py:1165} INFO - Dependencies all met for <TaskInstance: MyPersonalAirflowProject.Print_Imported_data scheduled__2022-11-07T00:00:00+00:00 [queued]>
[2022-11-17T16:03:50.371+0000] {taskinstance.py:1165} INFO - Dependencies all met for <TaskInstance: MyPersonalAirflowProject.Print_Imported_data scheduled__2022-11-07T00:00:00+00:00 [queued]>
[2022-11-17T16:03:50.371+0000] {taskinstance.py:1362} INFO - 
--------------------------------------------------------------------------------
[2022-11-17T16:03:50.374+0000] {taskinstance.py:1363} INFO - Starting attempt 3 of 3
[2022-11-17T16:03:50.374+0000] {taskinstance.py:1364} INFO - 
--------------------------------------------------------------------------------
[2022-11-17T16:03:50.397+0000] {taskinstance.py:1383} INFO - Executing <Task(BashOperator): Print_Imported_data> on 2022-11-07 00:00:00+00:00
[2022-11-17T16:03:50.403+0000] {standard_task_runner.py:55} INFO - Started process 1760 to run task
[2022-11-17T16:03:50.406+0000] {standard_task_runner.py:82} INFO - Running: ['***', 'tasks', 'run', 'MyPersonalAirflowProject', 'Print_Imported_data', 'scheduled__2022-11-07T00:00:00+00:00', '--job-id', '1969', '--raw', '--subdir', 'DAGS_FOLDER/FinalPersonalProject.py', '--cfg-path', '/tmp/tmpy6gic1dc']
[2022-11-17T16:03:50.407+0000] {standard_task_runner.py:83} INFO - Job 1969: Subtask Print_Imported_data
[2022-11-17T16:03:50.483+0000] {task_command.py:376} INFO - Running <TaskInstance: MyPersonalAirflowProject.Print_Imported_data scheduled__2022-11-07T00:00:00+00:00 [running]> on host 638485efabe7
[2022-11-17T16:03:50.576+0000] {taskinstance.py:1592} INFO - Exporting the following env vars:
AIRFLOW_CTX_DAG_OWNER=***
AIRFLOW_CTX_DAG_ID=MyPersonalAirflowProject
AIRFLOW_CTX_TASK_ID=Print_Imported_data
AIRFLOW_CTX_EXECUTION_DATE=2022-11-07T00:00:00+00:00
AIRFLOW_CTX_TRY_NUMBER=3
AIRFLOW_CTX_DAG_RUN_ID=scheduled__2022-11-07T00:00:00+00:00
[2022-11-17T16:03:50.577+0000] {subprocess.py:63} INFO - Tmp dir root location: 
 /tmp
[2022-11-17T16:03:50.578+0000] {subprocess.py:75} INFO - Running command: ['/bin/bash', '-c', 'ls /tmp/ && head /tmp/platzi_data_20221107.csv']
[2022-11-17T16:03:50.590+0000] {subprocess.py:86} INFO - Output:
[2022-11-17T16:03:50.593+0000] {subprocess.py:93} INFO - ***tmp1dw0i48q
[2022-11-17T16:03:50.594+0000] {subprocess.py:93} INFO - ***tmpk5xxq3nx
[2022-11-17T16:03:50.594+0000] {subprocess.py:93} INFO - ***tmplkvca7ip
[2022-11-17T16:03:50.595+0000] {subprocess.py:93} INFO - ***tmpodkacs8z
[2022-11-17T16:03:50.595+0000] {subprocess.py:93} INFO - file.txt
[2022-11-17T16:03:50.596+0000] {subprocess.py:93} INFO - history.json
[2022-11-17T16:03:50.596+0000] {subprocess.py:93} INFO - platzi_data_20221001.csv
[2022-11-17T16:03:50.597+0000] {subprocess.py:93} INFO - platzi_data_20221002.csv
[2022-11-17T16:03:50.597+0000] {subprocess.py:93} INFO - platzi_data_20221003.csv
[2022-11-17T16:03:50.598+0000] {subprocess.py:93} INFO - platzi_data_20221004.csv
[2022-11-17T16:03:50.598+0000] {subprocess.py:93} INFO - platzi_data_20221005.csv
[2022-11-17T16:03:50.599+0000] {subprocess.py:93} INFO - platzi_data_20221006.csv
[2022-11-17T16:03:50.599+0000] {subprocess.py:93} INFO - platzi_data_20221007.csv
[2022-11-17T16:03:50.599+0000] {subprocess.py:93} INFO - platzi_data_20221008.csv
[2022-11-17T16:03:50.600+0000] {subprocess.py:93} INFO - platzi_data_20221009.csv
[2022-11-17T16:03:50.600+0000] {subprocess.py:93} INFO - platzi_data_20221010.csv
[2022-11-17T16:03:50.600+0000] {subprocess.py:93} INFO - platzi_data_20221011.csv
[2022-11-17T16:03:50.601+0000] {subprocess.py:93} INFO - platzi_data_20221012.csv
[2022-11-17T16:03:50.601+0000] {subprocess.py:93} INFO - platzi_data_20221013.csv
[2022-11-17T16:03:50.601+0000] {subprocess.py:93} INFO - platzi_data_20221014.csv
[2022-11-17T16:03:50.602+0000] {subprocess.py:93} INFO - platzi_data_20221015.csv
[2022-11-17T16:03:50.602+0000] {subprocess.py:93} INFO - platzi_data_20221016.csv
[2022-11-17T16:03:50.602+0000] {subprocess.py:93} INFO - platzi_data_20221017.csv
[2022-11-17T16:03:50.602+0000] {subprocess.py:93} INFO - platzi_data_20221018.csv
[2022-11-17T16:03:50.603+0000] {subprocess.py:93} INFO - platzi_data_20221019.csv
[2022-11-17T16:03:50.603+0000] {subprocess.py:93} INFO - platzi_data_20221020.csv
