[2022-11-17T16:53:34.587+0000] {taskinstance.py:1165} INFO - Dependencies all met for <TaskInstance: MyPersonalAirflowProject.Print_Imported_data scheduled__2022-11-16T00:00:00+00:00 [queued]>
[2022-11-17T16:53:34.601+0000] {taskinstance.py:1165} INFO - Dependencies all met for <TaskInstance: MyPersonalAirflowProject.Print_Imported_data scheduled__2022-11-16T00:00:00+00:00 [queued]>
[2022-11-17T16:53:34.602+0000] {taskinstance.py:1362} INFO - 
--------------------------------------------------------------------------------
[2022-11-17T16:53:34.603+0000] {taskinstance.py:1363} INFO - Starting attempt 3 of 3
[2022-11-17T16:53:34.603+0000] {taskinstance.py:1364} INFO - 
--------------------------------------------------------------------------------
[2022-11-17T16:53:34.622+0000] {taskinstance.py:1383} INFO - Executing <Task(BashOperator): Print_Imported_data> on 2022-11-16 00:00:00+00:00
[2022-11-17T16:53:34.628+0000] {standard_task_runner.py:55} INFO - Started process 5401 to run task
[2022-11-17T16:53:34.631+0000] {standard_task_runner.py:82} INFO - Running: ['***', 'tasks', 'run', 'MyPersonalAirflowProject', 'Print_Imported_data', 'scheduled__2022-11-16T00:00:00+00:00', '--job-id', '2410', '--raw', '--subdir', 'DAGS_FOLDER/FinalPersonalProject.py', '--cfg-path', '/tmp/tmpnqalvj5u']
[2022-11-17T16:53:34.632+0000] {standard_task_runner.py:83} INFO - Job 2410: Subtask Print_Imported_data
[2022-11-17T16:53:34.703+0000] {task_command.py:376} INFO - Running <TaskInstance: MyPersonalAirflowProject.Print_Imported_data scheduled__2022-11-16T00:00:00+00:00 [running]> on host 638485efabe7
[2022-11-17T16:53:34.783+0000] {taskinstance.py:1592} INFO - Exporting the following env vars:
AIRFLOW_CTX_DAG_OWNER=***
AIRFLOW_CTX_DAG_ID=MyPersonalAirflowProject
AIRFLOW_CTX_TASK_ID=Print_Imported_data
AIRFLOW_CTX_EXECUTION_DATE=2022-11-16T00:00:00+00:00
AIRFLOW_CTX_TRY_NUMBER=3
AIRFLOW_CTX_DAG_RUN_ID=scheduled__2022-11-16T00:00:00+00:00
[2022-11-17T16:53:34.785+0000] {subprocess.py:63} INFO - Tmp dir root location: 
 /tmp
[2022-11-17T16:53:34.786+0000] {subprocess.py:75} INFO - Running command: ['/bin/bash', '-c', 'ls /tmp/ && head /tmp/platzi_data_20221116.csv']
[2022-11-17T16:53:34.797+0000] {subprocess.py:86} INFO - Output:
[2022-11-17T16:53:34.827+0000] {subprocess.py:93} INFO - ***tmpia6ftxw_
[2022-11-17T16:53:34.828+0000] {subprocess.py:93} INFO - ***tmpk5xxq3nx
[2022-11-17T16:53:34.828+0000] {subprocess.py:93} INFO - ***tmplkvca7ip
[2022-11-17T16:53:34.828+0000] {subprocess.py:93} INFO - ***tmpodkacs8z
[2022-11-17T16:53:34.829+0000] {subprocess.py:93} INFO - file.txt
[2022-11-17T16:53:34.829+0000] {subprocess.py:93} INFO - history.json
[2022-11-17T16:53:34.830+0000] {subprocess.py:93} INFO - platzi_data_20221001.csv
[2022-11-17T16:53:34.830+0000] {subprocess.py:93} INFO - platzi_data_20221002.csv
[2022-11-17T16:53:34.831+0000] {subprocess.py:93} INFO - platzi_data_20221003.csv
[2022-11-17T16:53:34.831+0000] {subprocess.py:93} INFO - platzi_data_20221004.csv
[2022-11-17T16:53:34.832+0000] {subprocess.py:93} INFO - platzi_data_20221005.csv
[2022-11-17T16:53:34.832+0000] {subprocess.py:93} INFO - platzi_data_20221006.csv
[2022-11-17T16:53:34.833+0000] {subprocess.py:93} INFO - platzi_data_20221007.csv
[2022-11-17T16:53:34.833+0000] {subprocess.py:93} INFO - platzi_data_20221008.csv
[2022-11-17T16:53:34.834+0000] {subprocess.py:93} INFO - platzi_data_20221009.csv
[2022-11-17T16:53:34.834+0000] {subprocess.py:93} INFO - platzi_data_20221010.csv
[2022-11-17T16:53:34.834+0000] {subprocess.py:93} INFO - platzi_data_20221011.csv
[2022-11-17T16:53:34.835+0000] {subprocess.py:93} INFO - platzi_data_20221012.csv
[2022-11-17T16:53:34.836+0000] {subprocess.py:93} INFO - platzi_data_20221013.csv
[2022-11-17T16:53:34.836+0000] {subprocess.py:93} INFO - platzi_data_20221014.csv
[2022-11-17T16:53:34.836+0000] {subprocess.py:93} INFO - platzi_data_20221015.csv
[2022-11-17T16:53:34.837+0000] {subprocess.py:93} INFO - platzi_data_20221016.csv
[2022-11-17T16:53:34.837+0000] {subprocess.py:93} INFO - platzi_data_20221017.csv
[2022-11-17T16:53:34.838+0000] {subprocess.py:93} INFO - platzi_data_20221018.csv
[2022-11-17T16:53:34.838+0000] {subprocess.py:93} INFO - platzi_data_20221019.csv
[2022-11-17T16:53:34.838+0000] {subprocess.py:93} INFO - platzi_data_20221020.csv
[2022-11-17T16:53:34.839+0000] {subprocess.py:93} INFO - platzi_data_20221021.csv
[2022-11-17T16:53:34.840+0000] {subprocess.py:93} INFO - platzi_data_20221022.csv
[2022-11-17T16:53:34.841+0000] {subprocess.py:93} INFO - platzi_data_20221023.csv
[2022-11-17T16:53:34.841+0000] {subprocess.py:93} INFO - platzi_data_20221024.csv
[2022-11-17T16:53:34.842+0000] {subprocess.py:93} INFO - platzi_data_20221025.csv
[2022-11-17T16:53:34.842+0000] {subprocess.py:93} INFO - platzi_data_20221026.csv
[2022-11-17T16:53:34.842+0000] {subprocess.py:93} INFO - platzi_data_20221027.csv
[2022-11-17T16:53:34.843+0000] {subprocess.py:93} INFO - platzi_data_20221028.csv
[2022-11-17T16:53:34.843+0000] {subprocess.py:93} INFO - platzi_data_20221029.csv
[2022-11-17T16:53:34.843+0000] {subprocess.py:93} INFO - platzi_data_20221030.csv
[2022-11-17T16:53:34.844+0000] {subprocess.py:93} INFO - platzi_data_20221031.csv
[2022-11-17T16:53:34.844+0000] {subprocess.py:93} INFO - platzi_data_20221101.csv
[2022-11-17T16:53:34.845+0000] {subprocess.py:93} INFO - platzi_data_20221102.csv
[2022-11-17T16:53:34.845+0000] {subprocess.py:93} INFO - platzi_data_20221103.csv
[2022-11-17T16:53:34.846+0000] {subprocess.py:93} INFO - platzi_data_20221104.csv
[2022-11-17T16:53:34.846+0000] {subprocess.py:93} INFO - platzi_data_20221105.csv
[2022-11-17T16:53:34.846+0000] {subprocess.py:93} INFO - platzi_data_20221106.csv
[2022-11-17T16:53:34.847+0000] {subprocess.py:93} INFO - platzi_data_20221107.csv
[2022-11-17T16:53:34.847+0000] {subprocess.py:93} INFO - platzi_data_20221108.csv
[2022-11-17T16:53:34.847+0000] {subprocess.py:93} INFO - platzi_data_20221109.csv
[2022-11-17T16:53:34.848+0000] {subprocess.py:93} INFO - platzi_data_20221110.csv
[2022-11-17T16:53:34.848+0000] {subprocess.py:93} INFO - platzi_data_20221111.csv
[2022-11-17T16:53:34.848+0000] {subprocess.py:93} INFO - platzi_data_20221112.csv
[2022-11-17T16:53:34.848+0000] {subprocess.py:93} INFO - platzi_data_20221113.csv
[2022-11-17T16:53:34.849+0000] {subprocess.py:93} INFO - platzi_data_20221114.csv
[2022-11-17T16:53:34.849+0000] {subprocess.py:93} INFO - platzi_data_20221115.csv
[2022-11-17T16:53:34.849+0000] {subprocess.py:93} INFO - platzi_data_20221116.csv
[2022-11-17T16:53:34.850+0000] {subprocess.py:93} INFO - pymp-8yik9lbi
[2022-11-17T16:53:34.850+0000] {subprocess.py:93} INFO - pymp-sbqt6pho
[2022-11-17T16:53:34.850+0000] {subprocess.py:93} INFO - reponse_20221001.txt
[2022-11-17T16:53:34.851+0000] {subprocess.py:93} INFO - reponse_20221002.txt
[2022-11-17T16:53:34.851+0000] {subprocess.py:93} INFO - reponse_20221003.txt
[2022-11-17T16:53:34.851+0000] {subprocess.py:93} INFO - reponse_20221004.txt
[2022-11-17T16:53:34.852+0000] {subprocess.py:93} INFO - reponse_20221005.txt
[2022-11-17T16:53:34.852+0000] {subprocess.py:93} INFO - reponse_20221006.txt
[2022-11-17T16:53:34.852+0000] {subprocess.py:93} INFO - reponse_20221007.txt
[2022-11-17T16:53:34.853+0000] {subprocess.py:93} INFO - reponse_20221008.txt
[2022-11-17T16:53:34.853+0000] {subprocess.py:93} INFO - reponse_20221009.txt
[2022-11-17T16:53:34.853+0000] {subprocess.py:93} INFO - reponse_20221010.txt
[2022-11-17T16:53:34.854+0000] {subprocess.py:93} INFO - reponse_20221011.txt
[2022-11-17T16:53:34.854+0000] {subprocess.py:93} INFO - reponse_20221012.txt
[2022-11-17T16:53:34.854+0000] {subprocess.py:93} INFO - reponse_20221013.txt
[2022-11-17T16:53:34.855+0000] {subprocess.py:93} INFO - reponse_20221014.txt
[2022-11-17T16:53:34.855+0000] {subprocess.py:93} INFO - reponse_20221015.txt
[2022-11-17T16:53:34.855+0000] {subprocess.py:93} INFO - reponse_20221016.txt
[2022-11-17T16:53:34.856+0000] {subprocess.py:93} INFO - reponse_20221017.txt
[2022-11-17T16:53:34.856+0000] {subprocess.py:93} INFO - reponse_20221018.txt
[2022-11-17T16:53:34.857+0000] {subprocess.py:93} INFO - reponse_20221019.txt
[2022-11-17T16:53:34.858+0000] {subprocess.py:93} INFO - reponse_20221020.txt
[2022-11-17T16:53:34.858+0000] {subprocess.py:93} INFO - reponse_20221021.txt
[2022-11-17T16:53:34.858+0000] {subprocess.py:93} INFO - reponse_20221022.txt
[2022-11-17T16:53:34.859+0000] {subprocess.py:93} INFO - reponse_20221023.txt
[2022-11-17T16:53:34.859+0000] {subprocess.py:93} INFO - reponse_20221024.txt
[2022-11-17T16:53:34.859+0000] {subprocess.py:93} INFO - reponse_20221025.txt
[2022-11-17T16:53:34.860+0000] {subprocess.py:93} INFO - reponse_20221026.txt
[2022-11-17T16:53:34.860+0000] {subprocess.py:93} INFO - reponse_20221027.txt
[2022-11-17T16:53:34.860+0000] {subprocess.py:93} INFO - reponse_20221028.txt
[2022-11-17T16:53:34.861+0000] {subprocess.py:93} INFO - reponse_20221029.txt
[2022-11-17T16:53:34.861+0000] {subprocess.py:93} INFO - reponse_20221030.txt
[2022-11-17T16:53:34.861+0000] {subprocess.py:93} INFO - reponse_20221031.txt
[2022-11-17T16:53:34.862+0000] {subprocess.py:93} INFO - reponse_20221101.txt
[2022-11-17T16:53:34.862+0000] {subprocess.py:93} INFO - reponse_20221102.txt
[2022-11-17T16:53:34.862+0000] {subprocess.py:93} INFO - reponse_20221103.txt
[2022-11-17T16:53:34.862+0000] {subprocess.py:93} INFO - reponse_20221104.txt
[2022-11-17T16:53:34.863+0000] {subprocess.py:93} INFO - reponse_20221105.txt
[2022-11-17T16:53:34.863+0000] {subprocess.py:93} INFO - reponse_20221106.txt
[2022-11-17T16:53:34.864+0000] {subprocess.py:93} INFO - reponse_20221107.txt
[2022-11-17T16:53:34.864+0000] {subprocess.py:93} INFO - reponse_20221108.txt
[2022-11-17T16:53:34.864+0000] {subprocess.py:93} INFO - reponse_20221109.txt
[2022-11-17T16:53:34.865+0000] {subprocess.py:93} INFO - reponse_20221110.txt
[2022-11-17T16:53:34.865+0000] {subprocess.py:93} INFO - reponse_20221111.txt
[2022-11-17T16:53:34.865+0000] {subprocess.py:93} INFO - reponse_20221112.txt
[2022-11-17T16:53:34.865+0000] {subprocess.py:93} INFO - reponse_20221113.txt
[2022-11-17T16:53:34.866+0000] {subprocess.py:93} INFO - reponse_20221114.txt
[2022-11-17T16:53:34.866+0000] {subprocess.py:93} INFO - reponse_20221115.txt
[2022-11-17T16:53:34.866+0000] {subprocess.py:93} INFO - reponse_20221116.txt
[2022-11-17T16:53:34.867+0000] {subprocess.py:93} INFO - tmp061o5asr
[2022-11-17T16:53:34.867+0000] {subprocess.py:93} INFO - tmp1b_v374g
[2022-11-17T16:53:34.867+0000] {subprocess.py:93} INFO - tmp2n3y4qb3
[2022-11-17T16:53:34.868+0000] {subprocess.py:93} INFO - tmp2ztydtyd
[2022-11-17T16:53:34.868+0000] {subprocess.py:93} INFO - tmp546oqdk0
[2022-11-17T16:53:34.868+0000] {subprocess.py:93} INFO - tmp57roj99h
[2022-11-17T16:53:34.869+0000] {subprocess.py:93} INFO - tmp5lejojs5
[2022-11-17T16:53:34.869+0000] {subprocess.py:93} INFO - tmp5nj2onwa
[2022-11-17T16:53:34.869+0000] {subprocess.py:93} INFO - tmp64cxrvul
[2022-11-17T16:53:34.870+0000] {subprocess.py:93} INFO - tmp6g4l21c1
[2022-11-17T16:53:34.870+0000] {subprocess.py:93} INFO - tmp7c6bgots
[2022-11-17T16:53:34.871+0000] {subprocess.py:93} INFO - tmp7khebugo
[2022-11-17T16:53:34.871+0000] {subprocess.py:93} INFO - tmp7lvtz6wk
[2022-11-17T16:53:34.871+0000] {subprocess.py:93} INFO - tmp8_n1aj39
[2022-11-17T16:53:34.872+0000] {subprocess.py:93} INFO - tmp8c_dsk2e
[2022-11-17T16:53:34.872+0000] {subprocess.py:93} INFO - tmp928ntdt7
[2022-11-17T16:53:34.872+0000] {subprocess.py:93} INFO - tmp9503grtb
[2022-11-17T16:53:34.873+0000] {subprocess.py:93} INFO - tmp_afh1uos
[2022-11-17T16:53:34.874+0000] {subprocess.py:93} INFO - tmp_m6lsnw3
[2022-11-17T16:53:34.874+0000] {subprocess.py:93} INFO - tmp_vy6n6_q
[2022-11-17T16:53:34.875+0000] {subprocess.py:93} INFO - tmpcnj5oj8y
[2022-11-17T16:53:34.875+0000] {subprocess.py:93} INFO - tmpcu_pom_6
[2022-11-17T16:53:34.875+0000] {subprocess.py:93} INFO - tmpdmc2g1zb
[2022-11-17T16:53:34.876+0000] {subprocess.py:93} INFO - tmpe4k1ogev
[2022-11-17T16:53:34.876+0000] {subprocess.py:93} INFO - tmpg_n88zm7
[2022-11-17T16:53:34.876+0000] {subprocess.py:93} INFO - tmpgg8mkst1
[2022-11-17T16:53:34.877+0000] {subprocess.py:93} INFO - tmpgi8v82jx
[2022-11-17T16:53:34.877+0000] {subprocess.py:93} INFO - tmpiez6kail
[2022-11-17T16:53:34.877+0000] {subprocess.py:93} INFO - tmpj1n4wxza
