[2022-11-17T17:02:03.049+0000] {taskinstance.py:1165} INFO - Dependencies all met for <TaskInstance: MyPersonalAirflowProject.Print_Imported_data scheduled__2022-11-16T00:00:00+00:00 [queued]>
[2022-11-17T17:02:03.066+0000] {taskinstance.py:1165} INFO - Dependencies all met for <TaskInstance: MyPersonalAirflowProject.Print_Imported_data scheduled__2022-11-16T00:00:00+00:00 [queued]>
[2022-11-17T17:02:03.067+0000] {taskinstance.py:1362} INFO - 
--------------------------------------------------------------------------------
[2022-11-17T17:02:03.068+0000] {taskinstance.py:1363} INFO - Starting attempt 7 of 7
[2022-11-17T17:02:03.068+0000] {taskinstance.py:1364} INFO - 
--------------------------------------------------------------------------------
[2022-11-17T17:02:03.087+0000] {taskinstance.py:1383} INFO - Executing <Task(BashOperator): Print_Imported_data> on 2022-11-16 00:00:00+00:00
[2022-11-17T17:02:03.096+0000] {standard_task_runner.py:55} INFO - Started process 5842 to run task
[2022-11-17T17:02:03.104+0000] {standard_task_runner.py:82} INFO - Running: ['***', 'tasks', 'run', 'MyPersonalAirflowProject', 'Print_Imported_data', 'scheduled__2022-11-16T00:00:00+00:00', '--job-id', '2427', '--raw', '--subdir', 'DAGS_FOLDER/FinalPersonalProject.py', '--cfg-path', '/tmp/tmpbcnwmt77']
[2022-11-17T17:02:03.105+0000] {standard_task_runner.py:83} INFO - Job 2427: Subtask Print_Imported_data
[2022-11-17T17:02:03.303+0000] {task_command.py:376} INFO - Running <TaskInstance: MyPersonalAirflowProject.Print_Imported_data scheduled__2022-11-16T00:00:00+00:00 [running]> on host 638485efabe7
[2022-11-17T17:02:03.443+0000] {taskinstance.py:1592} INFO - Exporting the following env vars:
AIRFLOW_CTX_DAG_OWNER=***
AIRFLOW_CTX_DAG_ID=MyPersonalAirflowProject
AIRFLOW_CTX_TASK_ID=Print_Imported_data
AIRFLOW_CTX_EXECUTION_DATE=2022-11-16T00:00:00+00:00
AIRFLOW_CTX_TRY_NUMBER=7
AIRFLOW_CTX_DAG_RUN_ID=scheduled__2022-11-16T00:00:00+00:00
[2022-11-17T17:02:03.445+0000] {subprocess.py:63} INFO - Tmp dir root location: 
 /tmp
[2022-11-17T17:02:03.447+0000] {subprocess.py:75} INFO - Running command: ['/bin/bash', '-c', 'ls /tmp/ && head /tmp/platzi_data_20221116.csv']
[2022-11-17T17:02:03.463+0000] {subprocess.py:86} INFO - Output:
[2022-11-17T17:02:03.469+0000] {subprocess.py:93} INFO - ***tmp5xaar2o0
[2022-11-17T17:02:03.470+0000] {subprocess.py:93} INFO - ***tmpk5xxq3nx
[2022-11-17T17:02:03.470+0000] {subprocess.py:93} INFO - ***tmplkvca7ip
[2022-11-17T17:02:03.471+0000] {subprocess.py:93} INFO - ***tmpodkacs8z
[2022-11-17T17:02:03.471+0000] {subprocess.py:93} INFO - file.txt
[2022-11-17T17:02:03.472+0000] {subprocess.py:93} INFO - history.json
[2022-11-17T17:02:03.472+0000] {subprocess.py:93} INFO - platzi_data_20221001.csv
[2022-11-17T17:02:03.473+0000] {subprocess.py:93} INFO - platzi_data_20221002.csv
[2022-11-17T17:02:03.474+0000] {subprocess.py:93} INFO - platzi_data_20221003.csv
[2022-11-17T17:02:03.474+0000] {subprocess.py:93} INFO - platzi_data_20221004.csv
[2022-11-17T17:02:03.474+0000] {subprocess.py:93} INFO - platzi_data_20221005.csv
[2022-11-17T17:02:03.475+0000] {subprocess.py:93} INFO - platzi_data_20221006.csv
[2022-11-17T17:02:03.475+0000] {subprocess.py:93} INFO - platzi_data_20221007.csv
[2022-11-17T17:02:03.475+0000] {subprocess.py:93} INFO - platzi_data_20221008.csv
[2022-11-17T17:02:03.476+0000] {subprocess.py:93} INFO - platzi_data_20221009.csv
[2022-11-17T17:02:03.476+0000] {subprocess.py:93} INFO - platzi_data_20221010.csv
[2022-11-17T17:02:03.476+0000] {subprocess.py:93} INFO - platzi_data_20221011.csv
[2022-11-17T17:02:03.477+0000] {subprocess.py:93} INFO - platzi_data_20221012.csv
[2022-11-17T17:02:03.477+0000] {subprocess.py:93} INFO - platzi_data_20221013.csv
[2022-11-17T17:02:03.477+0000] {subprocess.py:93} INFO - platzi_data_20221014.csv
[2022-11-17T17:02:03.478+0000] {subprocess.py:93} INFO - platzi_data_20221015.csv
[2022-11-17T17:02:03.478+0000] {subprocess.py:93} INFO - platzi_data_20221016.csv
[2022-11-17T17:02:03.478+0000] {subprocess.py:93} INFO - platzi_data_20221017.csv
[2022-11-17T17:02:03.479+0000] {subprocess.py:93} INFO - platzi_data_20221018.csv
[2022-11-17T17:02:03.480+0000] {subprocess.py:93} INFO - platzi_data_20221019.csv
[2022-11-17T17:02:03.481+0000] {subprocess.py:93} INFO - platzi_data_20221020.csv
